State	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	c.TotalPropertyDamage	c.State.Lower	c.Damage.MM
ALABAMA	53379500	26758500	36757000	1035065500	2599294500	1178219500	16581500	298819250	41885550	47436750	34548100	4375324850	7445050	8394450	38215160	9798125160	alabama	9798.125
ALASKA	10090500	3337100	32545800	21243000	26731600	17006100	63594090	4103060	12171250	31721600	8824500	28855500	24145000	30415600	1471000	316255700	alaska	316.256
ARIZONA	13060000	6667000	73653800	135439100	3059500	8775200	159398500	24409500	48804000	15428750	2860668300	106302500	21699000	154201200	27046500	3658612850	arizona	3658.613
ARKANSAS	536834410	130450530	20267880	58572740	25945790	9983830	60564070	60288300	729784700	1116116850	58087850	518987500	180559100	72299100	266264400	3845007050	arkansas	3845.007
CALIFORNIA	589892300	67917300	150815000	2211704830	54800600	884885750	115472530500	1445937600	252035200	52464600	233083100	123351400	20683400	87660500	126831500	121774593580	california	121774.594
COLORADO	25630000	108620250	92841500	103389500	154600600	8056400	22056000	10071950	166232750	606633900	296553800	173256600	1162432750	1094691750	215290500	4240358250	colorado	4240.358
CONNECTICUT	6731000	7758000	2878000	591000	106000	6600000	2767500	2812000	1683700	2676500	22963600	88783750	7020500	5757500	514000	159643050	connecticut	159.643
DELAWARE	166000	1628000	515000	50583200	2469000	293000	2293000	1078000	1456500	47033500	9644000	1360000	7425000	410000	415000	126769200	delaware	126.769
DISTRICT OF COLUMBIA	1042500	6049000	587500	125643100	1000	50000	10552000	18000	78000	0	95000	2412000	78000	2000	6000	146614100	district of columbia	146.614
FLORIDA	485773650	106534900	42965200	119151250	19327575500	12091221500	82528700	328578260	305161290	94458900	15071100	18320300	128938850	64192000	210238290	33420709690	florida	33420.710
GEORGIA	112735640	17980250	54624600	50902350	110456850	179971850	44291850	217385650	319953750	399360820	31599270	294147700	58540150	151231220	9073410	2052255360	georgia	2052.255
HAWAII	70630000	30000	2788000	10000	80550200	150000	500	0	0	5000	0	15785000	86000	114500	110000	170259200	hawaii	170.259
IDAHO	7872100	234000	4669000	1012500	1049000	6755300	4386900	1002500	13944000	2980800	5915000	10044250	23118600	3430700	8641600	95056250	idaho	95.056
ILLINOIS	22095500	58247700	43047000	207417000	26503500	7912500	71435000	32743000	227142350	382800610	444054300	279021500	20563800	1555482000	255703000	3634168760	illinois	3634.169
INDIANA	90166500	23723350	124454000	172170000	56251200	117261900	41502300	32793600	888675140	52378100	11921200	18352700	24048850	6276600	75335850	1735311290	indiana	1735.311
